Titr,URL,title,Date,text_file
Air Canada Updates Schedule fo,https://www.newswire.ca/news-releases/air-canada-updates-schedule-for-may-in-response-to-ongoing-grounding-of-the-boeing-737-max-aircraft-821120121.html,,,
The Air Canada Foundation Make,https://www.newswire.ca/news-releases/the-air-canada-foundation-makes-every-bit-counts-for-thousands-of-children-across-canada--820475177.html,,,
Air Canada Updates Schedule Fo,https://www.newswire.ca/news-releases/air-canada-updates-schedule-following-the-grounding-of-the-boeing-737-max-aircraft-850980656.html,,,
Air Canada Suspends 2019 Finan,https://www.newswire.ca/news-releases/air-canada-suspends-2019-financial-guidance-in-light-of-boeing-737-max-grounding-879416230.html,,,
Air Canada Responds to Transpo,https://www.newswire.ca/news-releases/air-canada-responds-to-transport-canada-s-closure-of-canadian-airspace-to-the-boeing-737-max-aircraft-814591177.html,,,
Air Canada Proudly Showcases C,https://www.newswire.ca/news-releases/air-canada-proudly-showcases-contributions-and-achievements-of-women-employees-on-international-women-s-day-800071405.html,,,
Air Canada For Business Custom,https://www.newswire.ca/news-releases/air-canada-for-business-customers-to-enjoy-more-member-benefits-with-access-to-wework-s-global-network-of-workspace-840698271.html,,,
Air Canada Named One of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canada-s-best-diversity-employers-for-fourth-consecutive-year-864529049.html,,,
Media Advisory - Air Canada Se,https://www.newswire.ca/news-releases/media-advisory-air-canada-senior-vice-president-finance-amos-kazzaz-will-present-at-the-j-p-morgan-2019-aviation-transportation-and-industrials-conference-844544323.html,,,
Air Canada Renews Strategic Pa,https://www.newswire.ca/news-releases/air-canada-renews-strategic-partnership-with-american-express-for-its-participation-in-air-canada-s-new-loyalty-program-852643735.html,,,
Air Canada Increases Key Finan,https://www.newswire.ca/news-releases/air-canada-increases-key-financial-targets-for-2019-2021-899855589.html,,,
Kia Ora! Air Canada to Launch ,https://www.newswire.ca/news-releases/kia-ora-air-canada-to-launch-seasonal-flights-to-auckland-new-zealand-from-vancouver-850339413.html,,,
Bienvenido! Air Canada to Laun,https://www.newswire.ca/news-releases/bienvenido-air-canada-to-launch-service-to-quito-from-toronto-890676117.html,,,
Air Canada to Introduce Dreaml,https://www.newswire.ca/news-releases/air-canada-to-introduce-dreamliner-service-on-flights-between-toronto-and-honolulu-868848167.html,,,
Bem vindo! Air Canada Introduc,https://www.newswire.ca/news-releases/bem-vindo-air-canada-introduces-non-stop-montreal-sao-paulo-brazil-flights-866547571.html,,,
Air Canada to Launch Seasonal ,https://www.newswire.ca/news-releases/air-canada-to-launch-seasonal-flights-between-calgary-and-london-ontario-800786953.html,,,
Air Canada Flight departs Port,https://www.newswire.ca/news-releases/air-canada-flight-departs-port-au-prince-haiti-today-with-209-customers-onboard-819924930.html,,,
Air Canada to Implement Recent,https://www.newswire.ca/news-releases/air-canada-to-implement-recently-increased-foreign-ownership-levels-840522406.html,,,
Air Canada Reports 2018 Annual,https://www.newswire.ca/news-releases/air-canada-reports-2018-annual-results-848281414.html,,,
Air Canada Enhances Service by,https://www.newswire.ca/news-releases/air-canada-enhances-service-by-deploying-q400-aircraft-to-more-western-canada-regional-markets-844201663.html,,,
Air Canada Makes Strategic Enh,https://www.newswire.ca/news-releases/air-canada-makes-strategic-enhancements-on-eastern-canadian-regional-routes-for-spring-2019-811165088.html,,,
Air Canada To Strategically In,https://www.newswire.ca/news-releases/air-canada-to-strategically-increase-capacity-on-transborder-markets-895848909.html,,,
Air Canada and Chorus Aviation,https://www.newswire.ca/news-releases/air-canada-and-chorus-aviation-finalize-amended-and-extended-capacity-purchase-agreement-for-jazz-regional-flying-806639810.html,,,
Air Canada Is Named a Top Empl,https://www.newswire.ca/news-releases/air-canada-is-named-a-top-employer-in-montreal-for-the-sixth-consecutive-year-842448648.html,,,
Air Canada to Reduce Single-Us,https://www.newswire.ca/news-releases/air-canada-to-reduce-single-use-plastics-starting-with-eliminating-plastic-stir-sticks-in-summer-2019-870155619.html,,,
Media Advisory - Air Canada Vi,https://www.newswire.ca/news-releases/media-advisory-air-canada-vice-president-and-controller-chris-isford-to-address-new-ifrs-16-leases-accounting-standard-change-in-a-conference-call-on-february-21-2019-893018287.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-fourth-quarter-and-full-year-2018-results-881079739.html,,,
Media Advisory - Air Canada Se,https://www.newswire.ca/news-releases/media-advisory-air-canada-senior-vice-president-finance-amos-kazzaz-will-participate-in-a-fireside-chat-at-the-cibc-22nd-annual-whistler-institutional-investor-conference-861290068.html,,,
Air Canada Announces Improveme,https://www.newswire.ca/news-releases/air-canada-announces-improvements-to-capacity-purchase-agreement-with-jazz-aviation-lp-a-subsidiary-of-chorus-aviation-inc-and-equity-investment-of-97-26-million-in-chorus-883463851.html,,,
Air Canada Completes Acquisiti,https://www.newswire.ca/news-releases/air-canada-completes-acquisition-of-aeroplan-loyalty-business-817660106.html,,,
Media Advisory - Air Canada Se,https://www.newswire.ca/news-releases/media-advisory-air-canada-senior-vice-president-finance-amos-kazzaz-to-present-at-the-altacorp-capital-7th-annual-institutional-investor-conference-874172815.html,,,
Acquisition of Aeroplan Loyalt,https://www.newswire.ca/news-releases/acquisition-of-aeroplan-loyalty-business-by-air-canada-clears-regulatory-requirements-703432622.html,,,
Air Canada Strengthens Liquidi,https://www.newswire.ca/news-releases/air-canada-strengthens-liquidity-position-by-345-million-with-completion-of-two-financial-transactions-703310302.html,,,
Air Canada Announces Executive,https://www.newswire.ca/news-releases/air-canada-announces-executive-realignment-703150171.html,,,
Air Canada Unveils New Maple L,https://www.newswire.ca/news-releases/air-canada-unveils-new-maple-leaf-lounge-featuring-more-amenities-and-local-artwork-at-st-johns-international-airport-703106752.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-to-unveil-new-maple-leaf-lounge-at-st-johns-international-airport-703006381.html,,,
Air Canada is Overwhelmingly P,https://www.newswire.ca/news-releases/air-canada-is-overwhelmingly-preferred-by-business-travellers-702924671.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-unveil-new-maple-leaf-lounge-at-st-john-s-international-airport-854099669.html,,,
This Busy Holiday Travel Seaso,https://www.newswire.ca/news-releases/this-busy-holiday-travel-season-air-canada-offers-up-tips-to-make-your-journey-a-smoother-one-701978402.html,,,
Air Canada's Latest Maple Leaf,https://www.newswire.ca/news-releases/air-canadas-latest-maple-leaf-lounge-opens-in-new-york-laguardia-airports-new-terminal-701869182.html,,,
Air Canada Commends the Canadi,https://www.newswire.ca/news-releases/air-canada-commends-the-canadian-and-uk-governments-for-negotiating-a-new-bilateral-air-services-agreement-701709752.html,,,
Air Canada Vacations' Black Fr,https://www.newswire.ca/news-releases/air-canada-vacations-black-friday-sale-sets-new-single-day-record-for-vacation-package-bookings-701525152.html,,,
"On Giving Tuesday, the Air Can",https://www.newswire.ca/news-releases/on-giving-tuesday-the-air-canada-foundation-announces-16-million-in-donations-to-more-than-20-canadian-charitable-organizations-helping-children-701360101.html,,,
Air Canada Enters into Definit,https://www.newswire.ca/news-releases/air-canada-enters-into-definitive-agreements-to-acquire-the-aeroplan-loyalty-program-and-for-co-branded-credit-card-partners-701236461.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-host-2019-investor-day-on-february-28th-in-toronto-700363461.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-scotiabank-transportation--industrials-conference-2018-700149671.html,,,
Canadian Talent Choosing Air C,https://www.newswire.ca/news-releases/canadian-talent-choosing-air-canada-airline-named-one-of-canadas-top-100-employers-for-the-sixth-consecutive-year-700140082.html,,,
Play in the Coolest Playground,https://www.newswire.ca/news-releases/play-in-the-coolest-playground-with-air-canada-vacations-new-2019-canada-collection-699809481.html,,,
Air Canada Proudly Flies the F,https://www.newswire.ca/news-releases/air-canada-proudly-flies-the-flag-in-support-of-calgarys-bid-for-the-2026-olympic-and-paralympic-winter-games-699650651.html,,,
Media Advisory - Air Canada Ma,https://www.newswire.ca/news-releases/media-advisory---air-canada-maintenance-invites-you-to-participate-in-young-women-in-aviation-day-699293261.html,,,
Air Canada Reports Third Quart,https://www.newswire.ca/news-releases/air-canada-reports-third-quarter-2018-results-699121121.html,,,
Air Canada Inaugurates Two New,https://www.newswire.ca/news-releases/air-canada-inaugurates-two-new-transborder-routes-from-alberta-698840781.html,,,
Air Canada Announces Canada's ,https://www.newswire.ca/news-releases/air-canada-announces-canadas-best-new-restaurants-2018-698668421.html,,,
Air Canada To Open New Facilit,https://www.newswire.ca/news-releases/air-canada-to-open-new-facility-for-ground-support-equipment-services-and-cargo-at-edmonton-international-airport-698552951.html,,,
Air Canada Welcomes the Launch,https://www.newswire.ca/news-releases/air-canada-welcomes-the-launch-by-the-city-of-montreal-of-the-cabinet-creatif-de-montreal-in-support-of-small-business-development-programs-698521211.html,,,
Air Canada Partners with Windi,https://www.newswire.ca/news-releases/air-canada-partners-with-winding-tree-on-a-blockchain-based-travel-distribution-platform-698409851.html,,,
Air Canada Expands its Presenc,https://www.newswire.ca/news-releases/air-canada-expands-its-presence-in-north-carolina-with-a-new-route-and-enhanced-services-to-raleigh-and-charlotte-698398311.html,,,
Air Canada to Increase YVR-Del,https://www.newswire.ca/news-releases/air-canada-to-increase-yvr-delhi-flights-to-daily-year-round-expands-dreamliner-service-from-yvr-to-several-international-destinations-in-summer-2019-696921811.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-third-quarter-2018-results-696587871.html,,,
Taste The Fine Wine Of The Bor,https://www.newswire.ca/news-releases/taste-the-fine-wine-of-the-bordeaux-region-with-air-canadas-new-seasonal-service-from-montreal-695009551.html,,,
Take A Waltz From Toronto to V,https://www.newswire.ca/news-releases/take-a-waltz-from-toronto-to-vienna-with-air-canadas-new-service-to-austrias-capital-695006551.html,,,
Air Canada Commends the Govern,https://www.newswire.ca/news-releases/air-canada-commends-the-governments-of-canada-the-united-states-and-mexico-on-reaching-a-new-trade-agreement-694890061.html,,,
Air Canada Announces Top 10 fo,https://www.newswire.ca/news-releases/air-canada-announces-top-10-for-canadas-best-new-bars-2018-694771811.html,,,
Air Canada President and Chief,https://www.newswire.ca/news-releases/air-canada-president-and-chief-executive-calin-rovinescu-given-ceo-lifetime-achievement-award-by-the-airline-passenger-experience-association-694159871.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-cibc-17th-annual-eastern-institutional-investor-conference-693471231.html,,,
Air Canada Unveils New Maple L,https://www.newswire.ca/news-releases/air-canada-unveils-new-maple-leaf-lounge-at-saskatoons-john-g-diefenbaker-international-airport-693235961.html,,,
Air Canada Affirmed as North A,https://www.newswire.ca/news-releases/air-canada-affirmed-as-north-americas-only-four-star-full-service-international-carrier-by-the-independent-research-firm-skytrax-693152931.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-unveil-new-maple-leaf-lounge-at-saskatoon-john-g-diefenbaker-international-airport-693142891.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-unveil-new-maple-leaf-lounge-at-saskatoon-john-g-diefenbaker-international-airport-692864371.html,,,
Air Canada Announces Appointme,https://www.newswire.ca/news-releases/air-canada-announces-appointment-of-ferio-pugliese-as-senior-vice-president-government-relations-and-regional-markets-691656251.html,,,
Air Canada Expands Acceptance ,https://www.newswire.ca/news-releases/air-canada-expands-acceptance-of-alipay-and-wechat-pay-to-north-american-and-hong-kong-websites-691354001.html,,,
"Air Canada, TD, CIBC, Visa and",https://www.newswire.ca/news-releases/air-canada-td-cibc-visa-and-aimia-reach-agreement-in-principle-for-acquisition-of-aeroplan-loyalty-business-691341691.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-cowen-and-company-11th-annual-global-transportation-conference-691282101.html,,,
Air Canada Announces Departure,https://www.newswire.ca/news-releases/air-canada-announces-departure-of-benjamin-smith-president-airlines-and-chief-operating-officer-691041621.html,,,
Transporting Live Animals: Air,https://www.newswire.ca/news-releases/transporting-live-animals-air-canada-cargos-position-as-an-industry-leader-reinforced-with-iata-certification-690482531.html,,,
Air Canada Announces Longlist ,https://www.newswire.ca/news-releases/air-canada-announces-longlist-for-canadas-best-new-restaurants-2018-690467081.html,,,
Air Canada Sets New Single Day,https://www.newswire.ca/news-releases/air-canada-sets-new-single-day-record-for-customers-carried-689973881.html,,,
Aimia Rejects Bid by Air Canad,https://www.newswire.ca/news-releases/aimia-rejects-bid-by-air-canada-td-cibc-and-visa-canada-consortium-for-aeroplan-program-689942081.html,,,
Air Canada Reports Second Quar,https://www.newswire.ca/news-releases/air-canada-reports-second-quarter-2018-results-689320721.html,,,
"Proposal by Air Canada, TD, CI",https://www.newswire.ca/news-releases/proposal-by-air-canada-td-cibc-and-visa-to-acquire-aimias-aeroplan-loyalty-business-689100461.html,,,
Air Canada named Best Airline ,https://www.newswire.ca/news-releases/air-canada-named-best-airline-in-north-america-at-the-skytrax-world-airline-awards-2018-688381551.html,,,
Air Canada President and Chief,https://www.newswire.ca/news-releases/air-canada-president-and-chief-executive-calin-rovinescu-wins-for-executive-leadership-at-the-2018-airline-strategy-awards-688255701.html,,,
Air Canada to Open Redesigned ,https://www.newswire.ca/news-releases/air-canada-to-open-redesigned-maple-leaf-lounge-at-st-johns-international-airport-this-fall-687893471.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory----air-canada-to-present-second-quarter-2018-results-687514961.html,,,
Air Canada Completes Inaugurat,https://www.newswire.ca/news-releases/air-canada-completes-inauguration-of-25-new-non-stop-international-transborder-and-domestic-routes-this-summer-687114301.html,,,
Air Canada Rouge Celebrates it,https://www.newswire.ca/news-releases/air-canada-rouge-celebrates-its-fifth-birthday-686924421.html,,,
Air Canada Promotes Summer Fam,https://www.newswire.ca/news-releases/air-canada-promotes-summer-family-fun-with-enhanced-services-for-customers-travelling-with-young-children-686822311.html,,,
Air Canada's New Uniforms Reco,https://www.newswire.ca/news-releases/air-canadas-new-uniforms-recognized-internationally-for-best-corporate-design-686274131.html,,,
Air Canada Inaugurates Three N,https://www.newswire.ca/news-releases/air-canada-inaugurates-three-new-non-stop-domestic-routes-686170991.html,,,
Air Canada Inaugurates Montrea,https://www.newswire.ca/news-releases/air-canada-inaugurates-montreal-lisbon-portugal-seasonal-flights-685658681.html,,,
Air Canada Inaugurates Montrea,https://www.newswire.ca/news-releases/air-canada-inaugurates-montreal-bucharest-flights-684954811.html,,,
Air Canada Begins Offering Sat,https://www.newswire.ca/news-releases/air-canada-begins-offering-satellite-connectivity-on-international-flights-684856041.html,,,
Air China and Air Canada Sign ,https://www.newswire.ca/news-releases/air-china-and-air-canada-sign-first-china-north-america-airline-joint-venture-684677151.html,,,
Air Canada Celebrates the Laun,https://www.newswire.ca/news-releases/air-canada-celebrates-the-launch-of-seasonal-service-to-ireland-from-montreal-684413791.html,,,
Air Canada Celebrates Launch o,https://www.newswire.ca/news-releases/air-canada-celebrates-launch-of-montreal-tokyo-narita-non-stop-flights-684311961.html,,,
Air Canada Renews Normal Cours,https://www.newswire.ca/news-releases/air-canada-renews-normal-course-issuer-bid-and-automatic-share-purchase-plan-683878811.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-national-bank-financial-8th-annual-quebec-conference-683616541.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-11th-annual-wolfe-research-global-transportation-conference-682963871.html,,,
Air Canada Named One of the To,https://www.newswire.ca/news-releases/air-canada-named-one-of-the-top-five-most-attractive-company-brands-to-work-for-in-canada-682408081.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-bank-of-america-merrill-lynch-2018-transportation-conference-682388361.html,,,
Air Canada Advises Customers o,https://www.newswire.ca/news-releases/air-canada-advises-customers-of-cancellations-and-delays-due-to-the-windstorm-affecting-toronto-pearson-681805061.html,,,
Air Canada Operates Biofuel Fl,https://www.newswire.ca/news-releases/air-canada-operates-biofuel-flight-from-edmonton-to-san-francisco-681562931.html,,,
Air Canada Launches Daily Non-,https://www.newswire.ca/news-releases/air-canada-launches-daily-non-stop-flights-linking-edmonton-and-san-francisco-681433151.html,,,
Air Canada Announces Election ,https://www.newswire.ca/news-releases/air-canada-announces-election-of-directors-681403851.html,,,
Air Canada Launches into Summe,https://www.newswire.ca/news-releases/air-canada-launches-into-summer-2018-with-the-first-of-25-new-non-stop-routes-beginning-this-season-681398991.html,,,
Air Canada to Open Maple Leaf ,https://www.newswire.ca/news-releases/air-canada-to-open-maple-leaf-lounge-at-saskatoons-john-g-diefenbaker-international-airport-this-fall-681358211.html,,,
Air Canada Reports First Quart,https://www.newswire.ca/news-releases/air-canada-reports-first-quarter-2018-results-681216061.html,,,
Air Canada prepared for potent,https://www.newswire.ca/news-releases/air-canada-prepared-for-potential-labour-disruptions-at-westjet-680944461.html,,,
Air Canada to Launch Daily non,https://www.newswire.ca/news-releases/air-canada-to-launch-daily-non-stop-montreal-london-ontario-and-montreal-windsor-ontario-flights-680793671.html,,,
Air Canada to Save 160 Tonnes ,https://www.newswire.ca/news-releases/air-canada-to-save-160-tonnes-of-carbon-on-earth-day-through-innovative-biojet-fuel-project-at-toronto-pearson-airport-680235213.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-participates-in-recognition-event-marking-introduction-of-biojet-fuel-at-toronto-pearson-international-airport-680222453.html,,,
Media Advisory - Air Canada Pa,https://www.newswire.ca/news-releases/media-advisory---air-canada-participates-in-recognition-event-marking-introduction-of-biojet-fuel-at-toronto-pearson-international-airport-680030973.html,,,
Air Canada Elevates Premium Tr,https://www.newswire.ca/news-releases/air-canada-elevates-premium-travel-experience-for-international-and-north-american-customers-679968583.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-first-quarter-2018-results-679915903.html,,,
Gogo's 2Ku Inflight Connectivi,https://www.newswire.ca/news-releases/gogos-2ku-inflight-connectivity-solution-selected-by-air-canada-for-its-bombardier-c-series-aircraft-679142193.html,,,
Air Canada Unveils Expanded Ec,https://www.newswire.ca/news-releases/air-canada-unveils-expanded-economy-fare-structure-to-satisfy-every-customers-travel-needs-678764513.html,,,
Air Canada Announces Nominatio,https://www.newswire.ca/news-releases/air-canada-announces-nomination-of-gary-a-doer-to-its-board-of-directors-678453773.html,,,
Air Canada Appoints Robert Ala,https://www.newswire.ca/news-releases/air-canada-appoints-robert-alan-read-vice-president-airports-for-north-america-678046223.html,,,
Air Canada Senior Vice-Preside,https://www.newswire.ca/news-releases/air-canada-senior-vice-president-people-culture-arielle-meloul-wechsler-assigned-additional-responsibilities-for-corporate-communications-677390343.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-desjardins-industrials-telecom-tech--consumer-conference-677107803.html,,,
Air Canada Reports Computer-Te,https://www.newswire.ca/news-releases/air-canada-reports-computer-telecommunications-issues-resolved-and-operations-returning-to-normal-676581083.html,,,
Air Canada Salutes and Celebra,https://www.newswire.ca/news-releases/air-canada-salutes-and-celebrates-its-women-employees-on-international-womens-day-with-two-all-female-intercontinental-flights-676315033.html,,,
"Air Canada to Launch Daily, Se",https://www.newswire.ca/news-releases/air-canada-to-launch-daily-seasonal-calgary-palm-springs-and-edmonton-las-vegas-flights-next-winter-676122683.html,,,
Air Canada To Launch New Servi,https://www.newswire.ca/news-releases/air-canada-to-launch-new-service-to-kauai-double-frequency-of-western-canada-flights-to-hawaii-with-new-boeing-737-max-fleet-676120173.html,,,
Air Canada Named One of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canadas-best-diversity-employers-for-third-consecutive-year-675668913.html,,,
Beyond Borders and the Air Can,https://www.newswire.ca/news-releases/beyond-borders-and-the-air-canada-foundation-renew-their-partnership-to-raise-awareness-about-child-sex-tourism-and-trafficking-675391773.html,,,
Air Canada Proudly Brings Cana,https://www.newswire.ca/news-releases/air-canada-proudly-brings-canadas-olympic-athletes-home---competitors-from-pyeongchang-to-arrive-on-february-26-675133843.html,,,
Air Canada Announces the Prici,https://www.newswire.ca/news-releases/air-canada-announces-the-pricing-of-a-canadian-dollar-private-offering-of-enhanced-equipment-trust-certificates-675127923.html,,,
Air Canada Proudly Brings Cana,https://www.newswire.ca/news-releases/air-canada-proudly-brings-canadas-olympic-athletes-home---competitors-from-pyeongchang-to-arrive-on-february-26-675087783.html,,,
Air Canada Reports 2017 Annual,https://www.newswire.ca/news-releases/air-canada-reports-2017-annual-results-674271803.html,,,
Air Canada Announces Appointme,https://www.newswire.ca/news-releases/air-canada-announces-appointment-of-jon-turner-as-vice-president-maintenance-674196573.html,,,
Air Canada Named Eco-Airline o,https://www.newswire.ca/news-releases/air-canada-named-eco-airline-of-the-year-in-air-transport-worlds-2018-annual-airline-industry-achievement-awards-673803093.html,,,
Air Canada Shows the World Wha,https://www.newswire.ca/news-releases/air-canada-shows-the-world-what-canada-is-made-of-with-new-ad-narrated-by-ryan-reynolds-673553883.html,,,
Air Canada Named One of Montre,https://www.newswire.ca/news-releases/air-canada-named-one-of-montreals-top-employers-for-fifth-consecutive-year-672205923.html,,,
Air Canada Wins Best Corporate,https://www.newswire.ca/news-releases/air-canada-wins-best-corporate-sustainability-report-in-the-canadian-transport-sector-for-the-second-consecutive-year-672202303.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-fourth-quarter-and-full-year-2017-results-671990673.html,,,
Air Canada's 787 Dreamliner no,https://www.newswire.ca/news-releases/air-canadas-787-dreamliner-non-stop-vancouver-delhi-flights-become-year-round-beginning-june-2018-671774054.html,,,
Air Canada to Launch New Domes,https://www.newswire.ca/news-releases/air-canada-to-launch-new-domestic-regional-routes-starting-july-2018-671769874.html,,,
Air Canada Welcomes Expanded C,https://www.newswire.ca/news-releases/air-canada-welcomes-expanded-canada-israel-air-services-agreement-671144333.html,,,
Media Advisory: Air Canada Lau,https://www.newswire.ca/news-releases/media-advisory-air-canada-launches-aircanadacommedia-a-new-resource-for-media-and-web-content-creators-671073143.html,,,
Uncover Europe's Hidden Gems w,https://www.newswire.ca/news-releases/uncover-europes-hidden-gems-with-air-canada-vacations-670691503.html,,,
Media Advisory - Air Canada Se,https://www.newswire.ca/news-releases/media-advisory---air-canada-senior-vice-president-financial-planning-and-analysis-amos-kazzaz-to-participate-at-the-cibc-21st-annual-whistler-institutional-investor-conference-669743753.html,,,
Air Canada Stock Top Performer,https://www.newswire.ca/news-releases/air-canada-stock-top-performer-among-north-american-network-carriers-for-the-second-consecutive-year-in-2017-668952733.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-altacorp-capital-6th-annual-institutional-investor-conference-668325713.html,,,
Air Canada Captures the Feelin,https://www.newswire.ca/news-releases/air-canada-captures-the-feeling-of-home-in-new-ad-narrated-by-ryan-reynolds-665469693.html,,,
Air Canada's Helpful Tips for ,https://www.newswire.ca/news-releases/air-canadas-helpful-tips-for-the-peak-holiday-travel-season-traveltips-665148153.html,,,
Air Canada Inaugurates Non-Sto,https://www.newswire.ca/news-releases/air-canada-inaugurates-non-stop-flights-to-cartagena-newest-destination-in-ongoing-strategic-international-expansion-664993223.html,,,
Air Canada Proudly Flies the F,https://www.newswire.ca/news-releases/air-canada-proudly-flies-the-flag-with-renewed-team-canada-olympic-and-paralympic-partnership-664985703.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-to-host-team-canada-celebration-and-make-a-special-announcement-664908863.html,,,
Air Canada Launches Montreal-L,https://www.newswire.ca/news-releases/air-canada-launches-montreal-lima-service-first-year-round-non-stop-south-american-flights-from-montreal-664748603.html,,,
Air Canada inaugurates the onl,https://www.newswire.ca/news-releases/air-canada-inaugurates-the-only-non-stop-flights-between-yellowknife-and-vancouver-664597363.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-host-team-canada-celebration-and-make-a-special-announcement-664391313.html,,,
Escape to the Next Level of Lu,https://www.newswire.ca/news-releases/escape-to-the-next-level-of-luxury-with-air-canada-vacations-664141083.html,,,
Air China and Air Canada Expan,https://www.newswire.ca/news-releases/air-china-and-air-canada-expand-strategic-cooperation-strengthening-canada-china-network-in-advance-of-full-joint-venture-663727253.html,,,
Air Canada's New Boeing 737 MA,https://www.newswire.ca/news-releases/air-canadas-new-boeing-737-max-enters-regular-service-to-transport-customers-with-next-generation-amenities-663392953.html,,,
Air Canada Announces Pricing o,https://www.newswire.ca/news-releases/air-canada-announces-pricing-of-private-offering-of-enhanced-equipment-trust-certificates-662771023.html,,,
Donate Aeroplan Miles to the A,https://www.newswire.ca/news-releases/donate-aeroplan-miles-to-the-air-canada-foundation-to-help-children-across-canada-obtain-medical-care-662589883.html,,,
G'Day Melbourne; Air Canada In,https://www.newswire.ca/news-releases/gday-melbourne-air-canada-inaugurates-the-only-non-stop-flights-from-canada-661539223.html,,,
Air Canada Rouge to Launch Non,https://www.newswire.ca/news-releases/air-canada-rouge-to-launch-non-stop-montreal-victoria-flights-for-summer-2018-661240093.html,,,
Air Canada to Launch New Domes,https://www.newswire.ca/news-releases/air-canada-to-launch-new-domestic-routes-for-summer-2018-661239833.html,,,
Air Canada to Launch Edmonton ,https://www.newswire.ca/news-releases/air-canada-to-launch-edmonton-to-san-francisco-non-stop-daily-flights-660789903.html,,,
Air Canada Expands its North A,https://www.newswire.ca/news-releases/air-canada-expands-its-north-american-network-with-new-transborder-routes-starting-spring-2018-660735553.html,,,
Air Canada Debuts Exclusive Ai,https://www.newswire.ca/news-releases/air-canada-debuts-exclusive-air-canada-signature-suite-for-premium-international-customers-at-its-toronto-global-hub-660729523.html,,,
Air Canada celebrates the joy ,https://www.newswire.ca/news-releases/air-canada-celebrates-the-joy-of-coming-home-for-the-holidays-660600593.html,,,
Air Canada Offers Altitude Mem,https://www.newswire.ca/news-releases/air-canada-offers-altitude-members-the-choice-of-complimentary-gogo-wi-fi-660507923.html,,,
Media Advisory - Air Canada Se,https://www.newswire.ca/news-releases/media-advisory---air-canada-senior-vice-president-financial-planning-and-analysis-amos-kazzaz-to-present-at-the-credit-suisse-5th-annual-industrials-conference-660273813.html,,,
Air Canada Customers Can Now A,https://www.newswire.ca/news-releases/air-canada-customers-can-now-ask-alexa-for-helpful-travel-information-657692033.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-scotiabank-transportation--aerospace-conference-2017-656639213.html,,,
Air Canada Develops Virtual Re,https://www.newswire.ca/news-releases/air-canada-develops-virtual-reality-experience-to-showcase-its-unique-dreamliner-offering-656410203.html,,,
